Accession.ID,Data.Source,Related.ID,Nuc.Completeness,Sequence.Length,Sequence.Quality,Host,Location,region_exposure,country_exposure,division_exposure
EPI_ISL_419908,GISAID,"EPI_ISL_419908, ",Complete,29866,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419909,GISAID,"EPI_ISL_419909, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419910,GISAID,"EPI_ISL_419910, ",Complete,29875,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419911,GISAID,"EPI_ISL_419911, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419912,GISAID,"EPI_ISL_419912, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419913,GISAID,"EPI_ISL_419913, ",Complete,29866,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419914,GISAID,"EPI_ISL_419914, ",Complete,29898,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419915,GISAID,"EPI_ISL_419915, ",Complete,29873,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419916,GISAID,"EPI_ISL_419916, ",Complete,29860,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419917,GISAID,"EPI_ISL_419917, ",Complete,29903,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419918,GISAID,"EPI_ISL_419918, ",Complete,29900,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419919,GISAID,"EPI_ISL_419919, ",Complete,29867,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419920,GISAID,"EPI_ISL_419920, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419921,GISAID,"EPI_ISL_419921, ",Complete,29895,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419922,GISAID,"EPI_ISL_419922, ",Complete,29866,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419923,GISAID,"EPI_ISL_419923, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419924,GISAID,"EPI_ISL_419924, ",Complete,29898,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419925,GISAID,"EPI_ISL_419925, ",Complete,29859,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419926,GISAID,"EPI_ISL_419926, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419927,GISAID,"EPI_ISL_419927, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419928,GISAID,"EPI_ISL_419928, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419929,GISAID,"EPI_ISL_419929, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419931,GISAID,"EPI_ISL_419931, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419932,GISAID,"EPI_ISL_419932, ",Complete,29866,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419933,GISAID,"EPI_ISL_419933, ",Complete,29900,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419934,GISAID,"EPI_ISL_419934, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419935,GISAID,"EPI_ISL_419935, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419936,GISAID,"EPI_ISL_419936, ",Complete,29891,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419937,GISAID,"EPI_ISL_419937, ",Complete,29891,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419938,GISAID,"EPI_ISL_419938, ",Complete,29893,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419939,GISAID,"EPI_ISL_419939, ",Complete,29900,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419940,GISAID,"EPI_ISL_419940, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419941,GISAID,"EPI_ISL_419941, ",Complete,29873,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419942,GISAID,"EPI_ISL_419942, ",Complete,29866,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419943,GISAID,"EPI_ISL_419943, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419944,GISAID,"EPI_ISL_419944, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419945,GISAID,"EPI_ISL_419945, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419946,GISAID,"EPI_ISL_419946, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419947,GISAID,"EPI_ISL_419947, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419948,GISAID,"EPI_ISL_419948, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419949,GISAID,"EPI_ISL_419949, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419950,GISAID,"EPI_ISL_419950, ",Complete,29903,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419951,GISAID,"EPI_ISL_419951, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419952,GISAID,"EPI_ISL_419952, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419953,GISAID,"EPI_ISL_419953, ",Complete,29903,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419954,GISAID,"EPI_ISL_419954, ",Complete,29895,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419955,GISAID,"EPI_ISL_419955, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419956,GISAID,"EPI_ISL_419956, ",Complete,29873,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419957,GISAID,"EPI_ISL_419957, ",Complete,29897,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419958,GISAID,"EPI_ISL_419958, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419959,GISAID,"EPI_ISL_419959, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419960,GISAID,"EPI_ISL_419960, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419961,GISAID,"EPI_ISL_419961, ",Complete,29873,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419962,GISAID,"EPI_ISL_419962, ",Complete,29867,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419963,GISAID,"EPI_ISL_419963, ",Complete,29873,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419964,GISAID,"EPI_ISL_419964, ",Complete,29866,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419965,GISAID,"EPI_ISL_419965, ",Complete,29903,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419966,GISAID,"EPI_ISL_419966, ",Complete,29903,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419967,GISAID,"EPI_ISL_419967, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419968,GISAID,"EPI_ISL_419968, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419969,GISAID,"EPI_ISL_419969, ",Complete,29891,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419970,GISAID,"EPI_ISL_419970, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419971,GISAID,"EPI_ISL_419971, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419972,GISAID,"EPI_ISL_419972, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419973,GISAID,"EPI_ISL_419973, ",Complete,29893,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419974,GISAID,"EPI_ISL_419974, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419975,GISAID,"EPI_ISL_419975, ",Complete,29898,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419976,GISAID,"EPI_ISL_419976, ",Complete,29875,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419977,GISAID,"EPI_ISL_419977, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419978,GISAID,"EPI_ISL_419978, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419979,GISAID,"EPI_ISL_419979, ",Complete,29887,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419980,GISAID,"EPI_ISL_419980, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419982,GISAID,"EPI_ISL_419982, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419983,GISAID,"EPI_ISL_419983, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419984,GISAID,"EPI_ISL_419984, ",Complete,29898,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419985,GISAID,"EPI_ISL_419985, ",Complete,29898,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419986,GISAID,"EPI_ISL_419986, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419987,GISAID,"EPI_ISL_419987, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419988,GISAID,"EPI_ISL_419988, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419989,GISAID,"EPI_ISL_419989, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419990,GISAID,"EPI_ISL_419990, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419991,GISAID,"EPI_ISL_419991, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419992,GISAID,"EPI_ISL_419992, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419993,GISAID,"EPI_ISL_419993, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419994,GISAID,"EPI_ISL_419994, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419995,GISAID,"EPI_ISL_419995, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419996,GISAID,"EPI_ISL_419996, ",Complete,29891,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419997,GISAID,"EPI_ISL_419997, ",Complete,29903,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419998,GISAID,"EPI_ISL_419998, ",Complete,29900,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_419999,GISAID,"EPI_ISL_419999, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420000,GISAID,"EPI_ISL_420000, ",Complete,29891,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420001,GISAID,"EPI_ISL_420001, ",Complete,29895,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420002,GISAID,"EPI_ISL_420002, ",Complete,29896,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420003,GISAID,"EPI_ISL_420003, ",Complete,29867,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420004,GISAID,"EPI_ISL_420004, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420005,GISAID,"EPI_ISL_420005, ",Complete,29877,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420006,GISAID,"EPI_ISL_420006, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420007,GISAID,"EPI_ISL_420007, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420008,GISAID,"EPI_ISL_420008, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420009,GISAID,"EPI_ISL_420009, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420010,GISAID,"EPI_ISL_420010, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420011,GISAID,"EPI_ISL_420011, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420012,GISAID,"EPI_ISL_420012, ",Complete,29898,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420013,GISAID,"EPI_ISL_420013, ",Complete,29899,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420014,GISAID,"EPI_ISL_420014, ",Complete,29878,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420015,GISAID,"EPI_ISL_420015, ",Complete,29872,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420016,GISAID,"EPI_ISL_420016, ",Complete,29865,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420017,GISAID,"EPI_ISL_420017, ",Complete,29902,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420018,GenBank,"MT322413,EPI_ISL_420018",Complete,29897,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420020,GenBank,"MT322416,EPI_ISL_420020",Complete,29867,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420021,GenBank,"MT322418,EPI_ISL_420021",Complete,29896,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420022,GenBank,"MT322419,EPI_ISL_420022",Complete,29899,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420023,GenBank,"MT322420,EPI_ISL_420023",Complete,29864,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420024,GenBank,"MT322421,EPI_ISL_420024",Complete,29859,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420025,GenBank,"MT322422,EPI_ISL_420025",Complete,29897,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420026,GenBank,"MT322423,EPI_ISL_420026",Complete,29900,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420027,GenBank,"MT322424,EPI_ISL_420027",Complete,29903,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420028,GenBank,"MT322408,EPI_ISL_420028",Complete,29867,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
EPI_ISL_420029,GenBank,"MT322409,EPI_ISL_420029",Complete,29900,High,Homo Sapiens,United States / Virginia,North America,USA,Virginia
MT233526,GenBank,"MT233526, ",Complete,29847,High,Homo sapiens,United States / WA,North America,USA, WA
MT246667,GenBank,"MT246667, ",Complete,29867,High,Homo sapiens,United States / WA,North America,USA, WA
MT276324,GenBank,"MT276324, ",Complete,29882,High,Homo sapiens,United States / CA,North America,USA, CA
MT276325,GenBank,"MT276325, ",Complete,29882,High,Homo sapiens,United States / WA,North America,USA, WA
MT276328,GenBank,"MT276328, ",Complete,29882,High,Homo sapiens,United States / OR,North America,USA, OR
MT276597,GenBank,"MT276597, ",Complete,29851,High,Homo sapiens,Israel,Asia,Israel,
MT281577,Genome Warehouse,"GWHACEY01000001,MT281577",Complete,29903,High,Homo sapiens,China / Anhui / Fuyang,Asia,China, Fuyang
EPI_ISL_420030,GISAID,"EPI_ISL_420030, ",Complete,29726,High,Homo Sapiens,Congo / Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa
EPI_ISL_420032,GISAID,"EPI_ISL_420032, ",Complete,29748,High,Homo Sapiens,Congo / Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa
EPI_ISL_420033,GISAID,"EPI_ISL_420033, ",Complete,29717,High,Homo Sapiens,Congo / Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa
EPI_ISL_420035,GISAID,"EPI_ISL_420035, ",Complete,29742,High,Homo Sapiens,Congo / Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa
EPI_ISL_420036,GISAID,"EPI_ISL_420036, ",Complete,29901,High,Homo Sapiens,Australia / Victoria,Oceania,Australia,Victoria
EPI_ISL_420037,GISAID,"EPI_ISL_420037, ",Complete,29862,High,Homo Sapiens,Algeria / Boufarik,Africa,Algeria,Boufarik
EPI_ISL_420038,GISAID,"EPI_ISL_420038, ",Complete,29882,High,Homo Sapiens,France / Bourgogne-Franche Comte / Montreux-Chateau,Europe,France,Bourgogne-France-Comt茅
EPI_ISL_420039,GISAID,"EPI_ISL_420039, ",Complete,29882,High,Homo Sapiens,France / Grand-Est / Strasbourg,Europe,France,Grand Est
EPI_ISL_420040,GISAID,"EPI_ISL_420040, ",Complete,29870,High,Homo Sapiens,France / Grand-Est / Strasbourg,Europe,France,Grand Est
EPI_ISL_420041,GISAID,"EPI_ISL_420041, ",Complete,29798,High,Homo Sapiens,France / Hauts de France / Compiegne,Europe,France,Hauts de France
EPI_ISL_420042,GISAID,"EPI_ISL_420042, ",Complete,29864,High,Homo Sapiens,France / Ile de France / Orsay,Europe,France,Ile de France
EPI_ISL_420043,GISAID,"EPI_ISL_420043, ",Complete,29872,High,Homo Sapiens,France / Ile de France / Paris,Europe,France,Ile de France
EPI_ISL_420044,GISAID,"EPI_ISL_420044, ",Complete,29864,High,Homo Sapiens,France / Hauts de France / Chateau-Thierry,Europe,France,Hauts de France
EPI_ISL_420045,GISAID,"EPI_ISL_420045, ",Complete,29864,High,Homo Sapiens,France / Grand-Est / Woippy,Europe,France,Grand Est
EPI_ISL_420046,GISAID,"EPI_ISL_420046, ",Complete,29862,High,Homo Sapiens,France / Ile de France / Gennevilliers,Europe,France,Ile de France
EPI_ISL_420048,GISAID,"EPI_ISL_420048, ",Complete,29879,High,Homo Sapiens,France / Ile de France / Longjumeau,Europe,France,Ile de France
EPI_ISL_420049,GISAID,"EPI_ISL_420049, ",Complete,29851,High,Homo Sapiens,France / Hauts de France / Compiegne,Europe,France,Hauts de France
EPI_ISL_420050,GISAID,"EPI_ISL_420050, ",Complete,29882,High,Homo Sapiens,France / Hauts de France / Compiegne,Europe,France,Hauts de France
EPI_ISL_420051,GISAID,"EPI_ISL_420051, ",Complete,29882,High,Homo Sapiens,France / Ile de France / Saint-Thibault-des-Vignes,Europe,France,Ile de France
EPI_ISL_420052,GISAID,"EPI_ISL_420052, ",Complete,29870,High,Homo Sapiens,France / Ile de France / Asnières-sur-Seine,Europe,France,Ile de France
EPI_ISL_420055,GISAID,"EPI_ISL_420055, ",Complete,29874,High,Homo Sapiens,France / Grand-Est / Spicheren,Europe,France,Grand Est
EPI_ISL_420056,GISAID,"EPI_ISL_420056, ",Complete,29816,High,Homo Sapiens,France / Hauts de France / Compiegne,Europe,France,Hauts de France
EPI_ISL_420057,GISAID,"EPI_ISL_420057, ",Complete,29882,High,Homo Sapiens,France / Hauts de France / Compiegne,Europe,France,Hauts de France
EPI_ISL_420058,GISAID,"EPI_ISL_420058, ",Complete,29862,High,Homo Sapiens,France / Ile de France / Longjumeau,Europe,France,Ile de France
EPI_ISL_420059,GISAID,"EPI_ISL_420059, ",Complete,29879,High,Homo Sapiens,France / Ile de France / Longjumeau,Europe,France,Ile de France
EPI_ISL_420060,GISAID,"EPI_ISL_420060, ",Complete,29882,High,Homo Sapiens,France / Ile de France / Longjumeau,Europe,France,Ile de France
EPI_ISL_420061,GISAID,"EPI_ISL_420061, ",Complete,29808,High,Homo Sapiens,France / Ile de France / Paris,Europe,France,Ile de France
EPI_ISL_420063,GISAID,"EPI_ISL_420063, ",Complete,29870,High,Homo Sapiens,France / Ile de France / Juvisy-sur-Orge,Europe,France,Ile de France
EPI_ISL_420064,GISAID,"EPI_ISL_420064, ",Complete,29882,High,Homo Sapiens,France / Ile de France / Longjumeau,Europe,France,Ile de France
EPI_ISL_420065,GISAID,"EPI_ISL_420065, ",Complete,29873,High,Homo Sapiens,Estonia,Europe,Estonia,
EPI_ISL_420066,GISAID,"EPI_ISL_420066, ",Complete,29873,High,Homo Sapiens,Estonia,Europe,Estonia,
EPI_ISL_420067,GISAID,"EPI_ISL_420067, ",Complete,29863,High,Homo Sapiens,Estonia,Europe,Estonia,
EPI_ISL_420069,GISAID,"EPI_ISL_420069, ",Complete,29903,High,Homo Sapiens,Senegal / Dakar,Africa,Senegal,Dakar
EPI_ISL_420070,GISAID,"EPI_ISL_420070, ",Complete,29903,High,Homo Sapiens,Senegal / Dakar,Africa,Senegal,Dakar
EPI_ISL_420073,GISAID,"EPI_ISL_420073, ",Complete,29903,High,Homo Sapiens,Senegal / Dakar,Africa,Senegal,Dakar
EPI_ISL_420074,GISAID,"EPI_ISL_420074, ",Complete,29903,High,Homo Sapiens,Senegal / St-Louis,Africa,Senegal,St-Louis
EPI_ISL_420076,GISAID,"EPI_ISL_420076, ",Complete,29903,High,Homo Sapiens,Senegal / Dakar,Africa,Senegal,Dakar
EPI_ISL_420077,GISAID,"EPI_ISL_420077, ",Complete,29903,High,Homo Sapiens,Senegal / Dakar,Africa,Senegal,Dakar
EPI_ISL_420080,GISAID,"EPI_ISL_420080, ",Complete,29903,High,Homo Sapiens,Russia / Saint Petersburg,Europe,Russia,Saint-Petersburg
EPI_ISL_420081,GISAID,"EPI_ISL_420081, ",Complete,29903,High,Homo Sapiens,Russia / Saint Petersburg,Europe,Russia,Saint-Petersburg
EPI_ISL_420082,GISAID,"EPI_ISL_420082, ",Complete,29864,High,Homo Sapiens,China / Taiwan,Asia,China,Taiwan
EPI_ISL_420083,GISAID,"EPI_ISL_420083, ",Complete,29864,High,Homo Sapiens,China / Taiwan,Asia,China,Taiwan
EPI_ISL_420084,GISAID,"EPI_ISL_420084, ",Complete,29861,High,Homo Sapiens,China / Taiwan,Asia,China,Taiwan
EPI_ISL_420085,GISAID,"EPI_ISL_420085, ",Complete,29862,High,Homo Sapiens,China / Taiwan,Asia,China,Taiwan
EPI_ISL_420099,GISAID,"EPI_ISL_420099, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420100,GISAID,"EPI_ISL_420100, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420101,GISAID,"EPI_ISL_420101, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420102,GISAID,"EPI_ISL_420102, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420103,GISAID,"EPI_ISL_420103, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420104,GISAID,"EPI_ISL_420104, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420105,GISAID,"EPI_ISL_420105, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420107,GISAID,"EPI_ISL_420107, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420108,GISAID,"EPI_ISL_420108, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420109,GISAID,"EPI_ISL_420109, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420110,GISAID,"EPI_ISL_420110, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420111,GISAID,"EPI_ISL_420111, ",Complete,29845,High,Homo Sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_420113,GISAID,"EPI_ISL_420113, ",Complete,29794,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420114,GISAID,"EPI_ISL_420114, ",Complete,29838,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420115,GISAID,"EPI_ISL_420115, ",Complete,29797,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420116,GISAID,"EPI_ISL_420116, ",Complete,29794,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420117,GISAID,"EPI_ISL_420117, ",Complete,29782,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420118,GISAID,"EPI_ISL_420118, ",Complete,29794,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420119,GISAID,"EPI_ISL_420119, ",Complete,29838,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420120,GISAID,"EPI_ISL_420120, ",Complete,29837,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420121,GISAID,"EPI_ISL_420121, ",Complete,29826,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420122,GISAID,"EPI_ISL_420122, ",Complete,29782,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
EPI_ISL_420123,GISAID,"EPI_ISL_420123, ",Complete,29794,High,Homo Sapiens,Spain / Comunitat Valenciana / Valencia,Europe,Spain,Comunitat Valenciana
